# TSI BlueSky
# Model: 8143   Serial: 81432124027
# FW: v1.1.1        
# PM sensor
# Model: SPS30   Serial: A576889CB1001F61
Timestamp,PM1,PM2.5,PM4,PM10,PM Sensor Status,Temperature,Relative Humidity,Device Status
UTC,μg/m³,μg/m³,μg/m³,μg/m³,,° Celsius,%,
2021-08-04 08:22:15,1,1,1,1,0,24.6,44,5
2021-08-04 08:37:15,3,3,3,3,0,26.6,40,4
2021-08-04 08:58:53,61,65,65,65,0,26.9,41,5
2021-08-04 09:13:53,160,169,169,169,0,27.4,41,4
2021-08-04 09:28:53,635,686,698,701,0,27.5,45,4
2021-08-04 09:43:53,1608,1867,2001,2028,0,27.4,56,4
2021-08-04 09:58:53,2441,2951,3250,3310,0,27.3,68,4
2021-08-04 10:13:53,961,1061,1098,1105,0,27.2,59,4
2021-08-04 10:28:53,1027,1143,1190,1199,0,26.9,58,4
2021-08-04 10:49:10,1254,1412,1481,1494,0,26.8,61,5
2021-08-04 11:04:10,2143,2530,2744,2786,0,26.8,70,4
2021-08-04 11:19:10,1775,2001,2102,2122,0,26.6,71,0
2021-08-04 11:34:10,2108,2500,2718,2762,0,25.2,75,0
2021-08-04 11:49:10,3139,4084,4704,4827,0,24.6,82,0
2021-08-04 12:04:10,1506,1825,2013,2051,0,24.5,73,0
2021-08-04 12:19:10,677,738,756,759,0,24.4,59,0
2021-08-04 12:34:10,619,678,697,700,0,24.5,60,0
2021-08-04 12:49:10,508,554,568,570,0,24.5,59,0
2021-08-04 13:04:10,429,468,480,482,0,24.6,59,0
2021-08-04 13:19:10,370,402,410,412,0,24.6,58,0
2021-08-04 13:34:10,323,350,358,359,16,24.7,58,16
2021-08-04 13:49:10,285,308,313,314,0,24.8,57,0
2021-08-04 14:04:10,253,273,278,279,0,24.8,57,0
2021-08-04 14:19:10,228,245,249,250,0,24.8,56,0
2021-08-04 14:34:10,207,223,226,227,0,24.8,56,0
2021-08-04 14:49:10,189,203,206,207,0,24.8,55,0
2021-08-04 15:04:10,172,186,188,189,0,24.8,55,0
2021-08-04 15:19:10,158,171,173,174,0,24.8,55,0
2021-08-04 15:34:10,145,156,159,159,0,24.8,54,0
2021-08-04 15:49:10,132,143,145,146,0,24.8,54,0
2021-08-04 16:04:10,121,130,133,133,0,24.9,53,0
2021-08-04 16:19:10,110,119,121,121,0,24.9,53,0
2021-08-04 16:34:10,100,108,110,110,0,24.9,53,0
2021-08-04 16:49:10,90,97,99,99,0,24.9,52,0
2021-08-04 17:04:10,81,88,89,90,0,24.9,52,0
2021-08-04 17:19:10,73,79,81,81,0,24.9,52,0
2021-08-04 17:34:10,67,72,73,74,0,24.9,51,0
2021-08-04 17:49:10,60,65,66,67,0,24.9,51,0
2021-08-04 18:04:10,55,60,61,61,0,24.9,51,0
2021-08-04 18:19:10,50,54,55,55,0,25.0,51,0
2021-08-04 18:34:10,45,48,49,49,0,25.0,50,0
2021-08-04 18:49:10,41,44,45,45,0,25.0,50,0
2021-08-04 19:04:10,38,41,41,41,0,25.0,50,0
2021-08-04 19:19:10,34,37,37,38,0,25.0,50,0
2021-08-04 19:34:10,31,34,34,34,0,25.0,50,0
2021-08-04 19:49:10,29,31,31,31,0,25.0,50,0
2021-08-04 20:04:10,26,28,29,29,0,25.0,49,0
2021-08-04 20:19:10,24,26,26,26,0,25.0,49,0
2021-08-04 20:34:10,22,24,24,24,0,25.0,49,0
2021-08-04 20:49:10,20,22,22,22,0,25.0,49,0
2021-08-04 21:04:10,18,20,20,20,0,25.0,49,0
2021-08-04 21:19:10,17,18,18,18,0,25.0,49,0
2021-08-04 21:34:10,16,17,17,17,0,25.0,49,0
2021-08-04 21:49:10,14,15,15,15,0,25.0,49,0
2021-08-04 22:04:10,13,14,15,15,0,25.0,49,0
2021-08-04 22:19:10,12,13,13,13,0,25.0,49,0
